Артикул;Номенклатура;Тип;Ед;Дополнительное описание номенклатуры;Картинка;Цена
;Jet 12";товар;шт;1-ск., рама  STEEL (8"), зад. ножн. тормоз, передний ручной тормоз, высокий руль с накладками, короткие стальные крылья, звонок, защитные пластиковые щитки на раме;;4740
;Jet 14";товар;шт;1-ск., рама  STEEL (8.5"), зад. ножн. тормоз, передний ручной тормоз, высокий руль с накладками, короткие стальные крылья, звонок, защитные пластиковые щитки на раме;;5015
;Jet 16";товар;шт;1-ск., рама  STEEL (9"), зад. ножн. тормоз, передний ручной тормоз, высокий руль с накладками, короткие стальные крылья, звонок, защитные пластиковые щитки на раме;;5350
;Jet 18";товар;шт;1-ск., рама  STEEL (10"), зад. ножн. тормоз, передний ручной тормоз, высокий руль с накладками, короткие стальные крылья, звонок, защитные пластиковые щитки на раме;;5760
;Joy 12";товар;шт;1-ск., рама  STEEL (8.5"), зад. ножн. тормоз, высокий руль с накладками, длинные крылья, багажник, поддерживающая ручка, звонок, стальная корзина;;5275
;Joy 14";товар;шт;1-ск., рама  STEEL (10"), зад. ножн. тормоз, высокий руль с накладками, длинные крылья, багажник, поддерживающая ручка, звонок, стальная корзина;;5550
;Joy 16";товар;шт;1-ск., рама  STEEL (10.5"), зад. ножн. тормоз, высокий руль с накладками, длинные крылья, багажник, звонок, стальная корзина;;5820
;Magic 12";товар;шт;1-ск., рама  STEEL (8"), зад. ножн. тормоз, высокий руль с накладками, длинные крылья, багажник, поддерживающая ручка, звонок, зеркало;;4740
;Magic 14";товар;шт;1-ск., рама  STEEL (10"), зад. ножн. тормоз, высокий руль с накладками, длинные крылья, багажник, поддерживающая ручка, звонок, зеркало;;5015
;Talisman 16" (black);товар;шт;1-ск., рама  STEEL (11"), зад. ножн. тормоз, AL обода, высокий руль с накладками, трёхкомпонентные шатуны, длинные крылья, багажник, звонок, рюкзак, зеркало, флаг;;5550
;Talisman 16" (chrome);товар;шт;1-ск., рама  STEEL (10.5"), зад. ножн. тормоз, высокий руль с накладками, длинные крылья, багажник, звонок, зеркало;;5275
;Talisman 16".14 (black);товар;шт;'1-ск., рама сталь, трёхкомпонентные шатуны, зад. ножн. тормоз, длинные крылья,
багажник, высокий руль с накладками, зеркало, звонок';;5550
;Talisman 18" (black);товар;шт;1-ск., рама  STEEL (11"), зад. ножн. тормоз, AL обода, высокий руль с накладками, трёхкомпонентные шатуны, длинные крылья, багажник, звонок;;5685
;Складные;;;;;
;Pilot-310 20" (производство);товар;шт;Велосипед 20" STELS Pilot-3101-ск, рама сталь (короткая база),  длинные крылья из нержавеющей стали, зад.нож.тормоз, AL обода, багажник, звонок, насос;;6900
;Pilot-350 20";товар;шт;6-ск, рама  STEEL (13"), SHIMANO SL-RS35/RD-TY21/MF-TZ20, AL обода, AL тормоза V-типа, длинные стальные крылья,  багажник, зеркало, насос, звонок;;9015
;Pilot-410 20";товар;шт;Велосипед 20" STELS Pilot-410 1-ск, рама сталь,  длинные крылья из нержавеющей стали, зад.нож.тормоз, AL обода, багажник, звонок, насос;;6900
