Артикул;Номенклатура;Тип;Ед;Дополнительное описание номенклатуры;Картинка;Цена
;Navigator-770 D 26".13 ;товар;шт;24-ск., рама AL (17.5/19.5/21.5"), аморт. вилка XCR SR SUNTOUR, SHIMANO SL-M410/FD-M191/RD-M430, кассета DNP, двойные AL обода ALEX, гидравлические дисковые тормоза Auriga Comp TEKTRO, пл. крылья;;27145
;Navigator-770 D 27,5".14;товар;шт;24-ск., рама AL (17.3/19.3/21"), аморт. вилка XCR SR SUNTOUR, SHIMANO SL-M410/FD-M191/RD-M430, кассета DNP, двойные AL обода ALEX, гидравлические дисковые тормоза Auriga Comp TEKTRO, пл. крылья;;38595
;Navigator-770 D 27.5" (новый дизайн);товар;шт;27-ск., рама ALX6 (17"/19"/21") аморт. вилка XCR SR SUNTOUR, SHIMANO SL-M400/FD-T400/RD-T400/CS-HG40, двойной AL обод WEINMANN, гидравлические дисковые тормоза DRACO TEKTRO, пл.крылья;;40080
;Navigator-770 V 26".13;товар;шт;24-ск., рама AL (17.5/19.5/21.5"), аморт. вилка XCR SR SUNTOUR, SHIMANO SL-M410/FD-M191/RD-M430, кассета DNP, двойные AL обода ALEX, AL тормоза V-типа TEKTRO, пл. крылья;;22755
;Navigator-790 D 27.5";товар;шт;27-ск., рама ALX6 (17"/19"/21"), аморт. вилка XCR SR SUNTOUR, SHIMANO SL-M590/FD-T400/RD-M591/CS-HG40, двойной AL обод WEINMANN, гидравлически дисковые тормоза SHIMANO, пл.крылья;;46590
;Navigator-790 D 27,5".14 ;товар;шт;21-ск., рама AL (17.5/19.5/21.0"), аморт. вилка XCR SR SUNTOUR, SHIMANO ST-M590/FD-M430/RD-M591/CS-HG50, гидравл. дисковые тормоза SHIMANO, двойные AL обода WEINMANN, покрышки CHAOYANG, пл. Крылья;;45645
;Navigator-810 MD 26".14 ;товар;шт;21-ск., рама АL (16.0/17.7/19.3/21.3"), аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-TX50/RD-M280/MF-TZ21, двойные AL обода WEINMANN, мех. дисковый тормоз Novela TEKTRO, пл. крылья;;24790
;Navigator-810 MD 26";товар;шт;21-ск., рама AL (17.5"/19.5"/21.5") аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF65/FD-TX50/RD-M280/MF-TZ21, двойной AL обод WEINMANN, механические дисковые тормоза NACS TEKTRO, пл. крылья;;25185
;Navigator-810 V 26".14;товар;шт;21-ск., рама АL (16.0/17.7/19.3/21.3"), аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-TX50/RD-M280/MF-TZ21, двойные AL обода WEINMANN, AL тормоза V-типа TEKTRO, пл. крылья;;22620
;Navigator-810 V 26" (новый дизайн);товар;шт;21-ск., рама AL (17.5"/19.5"/21.5") аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF65/FD-TX50/RD-M280/MF-TZ21, двойной AL обод WEINMANN, тормоза V-типа TEKTRO, пл. крылья;;22755
;Navigator-830 MD 26".14 ;товар;шт;21-ск., рама АL (16.0/17.7/19.3/21.3"), аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF65/FD-TX50/RD-M310/CS-HG41, мех.дисковые тормоза TEKTRO, двойные AL обода WEINMANN, покрышки CHAOYANG, пл. Крылья;;26540
;Navigator-830 MD 26" (новый дизайн);товар;шт;21-ск., рама AL(17.5"/19.5"/21.5") аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF65/FD-TX50/RD-M310/CS-HG41/ двойной AL обод WEINMANN, механические дисковые тормоза AQUILA TEKTRO, пл. крылья;;27085
;Navigator-830 V 26".14;товар;шт;21-ск., рама АL (16.0/17.7/19.3/21.3"), аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF65/FD-TX50/RD-M310/CS-HG41, AL тормоза V-типа TEKTRO, двойные AL обода WEINMANN, покрышки CHAOYANG, пл. Крылья;;23300
;Navigator-830 V 26" (новый дизайн);товар;шт;21-ск., рама AL (17.5"/19.5"/21.5") аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF65/FD-TX50/RD-M310/CS-HG41, двойной AL обод WEINMANN, тормоза V-типа TEKTRO, пл. крылья;;23835
;Navigator-850 MD 26".14;товар;шт;21-ск., рама АL (16.0/17.7/19.3/21.3"), аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF65/FD-TX50/RD-M360/CS-HG41, двойные AL обода ALEX, мех. дисковый тормоз Aquila TEKTRO, пл. крылья;;27225
;Navigator-850 MD 26" (новый дизайн);товар;шт;21-ск., рама AL (17.5"/19.5"/21.5") аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF65/FD-TX50/RD-M360/CS-HG41, двойной AL обод WEINMANN, механические дисковые тормоза AQUILA TEKTRO, пл. крылья;;27360
;Navigator-850 V 26".14;товар;шт;21-ск., рама АL (16.0/17.7/19.3/21.3"), аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF65/FD-TX50/RD-M360/CS-HG41, AL тормоза V-типа TEKTRO, двойные AL обода ALEX, покрышки CHAOYANG, пл. Крылья;;24105
;Navigator-850 V 26" (новый дизайн);товар;шт;21-ск, рама AL(17.5"/19.5"/21.5") аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF65/FD-TX50/RD-M360/CS-HG41, двойной AL обод WEINMANN, тормоза V-типа TEKTRO, пл.крылья;;24655
;Navigator-870 D 26".14;товар;шт;24-ск., рама АL (16.0/17.7/19.3/21.3"), аморт. вилка Omega ML RST, SHIMANO SL-M410/FD-M360/RD-M592/CS-HG41, двойные AL обода ALEX, гидравлические дисковые тормоза Auriga Comp TEKTRO, пл. крылья;;34945
;Navigator-870 D 26" (новый дизайн);товар;шт;27-ск., рама AL (17.5"/19.5"/21.5"), аморт. вилка XCR SR SUNTOUR, SHIMANO SL-M400/FD-M4000/RD-M592/CS-HG62, двойной AL обод ALEXRIMS, гидравлические дисковые тормоза DRACO TEKTRO, пл. крылья;;38730
;Navigator-870 V 26".13;товар;шт;24-ск., рама АL (16.0/17.7/19.3/21.3"), аморт. вилка Omega ML RST, SHIMANO SL-M410/FD-M360/RD-M592/CS-HG41, двойные AL обода ALEX, AL тормоза V-типа TEKTRO, пл. крылья;;26005
;Navigator-870 V 26".14;товар;шт;24-ск., рама АL (16.0/17.7/19.3/21.3"), аморт. вилка Omega ML RST, SHIMANO SL-M410/FD-M360/RD-M592/CS-HG41, двойные AL обода ALEX, AL тормоза V-типа TEKTRO, пл. крылья;;31965
;Navigator-870.12 Disc;товар;шт;26" 24-ск., рама АL (Gent 15/17/18.7/20.7/22.4"), Shimano ALTUS/ALIVIO/EF60,  вилка RST OMEGA, пл. крылья, диск. тормоз AQUILA TEKTRO, дв. AL обод;;31555
;Navigator-890 D 26" CARBON;товар;шт;30-ск., рама CARBON (18"/20"), аморт. вилка FIRST AIR RST, SHIMANO SL-M610/FD-M611/RD-M670/CS-HG62, двойной AL обод ALEXRIMS, гидравлические дисковые тормоза SHIMANO;;98725
;Navigator-900 D 29";товар;шт;21-ск., рама AL (16"/18"/20"), аморт. вилка XCT SR SUNTOUR, SHIMANO-SL-M310/FD-190/RD-M360/CS-HG41, двойной AL обод WEINMANN, гидравлические дисковые тормоза Draco TEKTRO, пл. крылья;;30870
;Navigator-930 D 29";товар;шт;24-ск., рама АL (17.5/19.5"), аморт. вилка Omega ML RST, SHIMANO SL-M360/FD-M360/RD-M400/CS-HG41, двойной AL обод WEINMANN, гидравлические дисковые тормоза Draco TEKTRO, пл. крылья;;36300
;Женские;;;;;
;Miss-5000 V 26";товар;шт;21-cк., рама STEEL (16"/18") аморт. вилка стальная, SHIMANO SL-RS35/FD-TZ30/RD-TX35D/MF-TZ20, двойной AL обод, тормоза V-типа, пл.крылья;;12860
;Miss-6000 V 26";товар;шт;21-ск., рама AL (15"/17"), аморт. вилка стальная, SHIMANO SL-RS35/FD-TY10/RD-TX35D/MF-TZ20, двойной AL обод, тормоза V-типа, пл. крылья;;14350
;Miss-6100 V 26";товар;шт;21-ск., рама AL (15.5"/17.5"/19.5"), аморт. вилка SR SUNTOUR XCT, SHIMANO ST-EF51/FD-TY10/RD-TX35D/MF-TZ21, двойной AL обод, тормоза V-типа, пл. рылья;;16795
;Miss-6300 V 26";товар;шт;21-ск., рама AL (15.5"/17.5"/19.5"), аморт.Вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-TX50/RD-M310/MF-TZ21, двойной AL обод, тормоза V-типа, пл.крылья;;18420
;Miss-6500 V 26";товар;шт;21-ск., рама AL (15.5"/17.5"/19.5"), аморт.Вилка XCT SR SUNTOUR, SHIMANO ST-EF65/FD-TX50/RD-M360/CS-HG41, двойной AL обод, тормоза V-типа TEKTRO, пл.крылья;;20320
;Miss-6700 MD 26";товар;шт;24-ск., рама AL (15.5"/17.5"/19.5") аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF65/FD-TX50/RD-M360/CS-HG31, двойной AL обод WEINMANN, дисковые маханические тормоза NOVELA TEKTRO, пл. крылья;;23030
;Miss-6900 V 26".13;товар;шт;21-ск., рама AL (15.3/17.0/18.9"), аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-TX50/RD-M310/CS-HG41, двойные AL обода WEINMANN, AL тормоза V-типа PROMAX, пл. крылья;;17600
;Miss-7100 V 26" (новый дизайн);товар;шт;21-ск., рама AL (15,3"/17"/19"), аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF65/FD-TX50/RD-TX35D/MF-TZ21, двойной AL обод WEINMANN, тормоза V-типа, пл.крылья;;22345
;Miss-7300 MD 26" (новая модель);товар;шт;21-ск., рама AL (15.3"/17"/19"), аморт. вилка SR SUNTOUR XCM, SHIMANO SL-M360/FD-M190/RD-M360/CS-HG41, дисковые механические тормоза AQUILA TEKTRO, пл. крылья;;27360
;Miss-7300 V 26".14;товар;шт;21-ск., рама AL (15.3/17.0/18.9"), аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF51/FD-TX50/RD-M310/MF-TZ21, двойные AL обода WEINMANN, AL тормоза V-типа TEKTRO, пл. крылья;;23165
;Miss-7500 V 26";товар;шт;21-ск., рама AL (16"/18"), аморт. вилка SR SUNTOUR XCT, SHIMANO ST-EF65/FD-TX50/RD-M310/MF-TZ21, двойной AL обод WEINMANN, тормоза V-типа TEKTRO, пл. крылья;;20990
;Miss-7700 V 26";товар;шт;21-ск., рама AL (15"/17"), аморт. вилка SR SUNTOUR NEX, SHIMANO ST-EF51/FD-TX50/RD-M310/MF-TZ21, двойной AL обод, тормоза V-типа TEKTRO, пл. крылья;;20580
;Miss-7900 V 26";товар;шт;8-ск., рама AL (15"/17"), аморт. вилка SR SUNTOUR, SHIMANO SL-8S31A/NEXUS 8-sp/SHIMANO, двойные AL обода WEINMANN, передний тормоз V-типа TEKTRO, задний ножной тормоз SHIMANO, пл. крылья, багажник;;29930
;Miss-8100 V 26";товар;шт;21-ск., рама AL (17"/18.5"), аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-TX50/RD-TX35D/MF-TZ21, двойной AL обод WEINMANN, тормоза V-итипа TEKTRO, пл. крылья;;20580
;Miss-8300 V 26".13;товар;шт;21-ск, рама AL (17.0/18.5"), аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF51/FD-TX50/RD-M310/MF-TZ21, двойные AL обода WEINMANN, AL тормоза V-типа TEKTRO, пл. крылья;;18285
;Miss-8300 V 26";товар;шт;21-ск., рама AL (17"/18.5"), аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF65/FD-TX50/RD-M310/MF-TZ21, двойной AL обод WEINMANN, тормоза V-типа TEKTRO, пл. крылья;;21540
;Miss-8500 V 26";товар;шт;21-ск., рама AL (17"/18.5"), аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF65/FD-TX50/RD-M360/CS-HG41, двойной AL обод ALEXRIMS, тормоза V-типа TEKTRO, пл. крылья;;23425
;Miss-8700 V 26";товар;шт;24-ск., рама AL (17"/18.5"), аморт. вилка XCM SR SUNTOUR, SHIMANO SL-M360/FD-M360/RD-T400/CS-HG31, двойной AL обод ALEXRIMS, тормоза V-типа TEKTRO, пл. крылья;;25735
;Miss-8900 MD 26";товар;шт;24-ск., рама AL (17"/18.5") аморт. вилка OMEGA ML RST, SHIMANO SL-M360/FD-M390/RD-M591/CS-HG31, двойной AL обод WEINMANN, механические дисковые тормоза AQUILA TEKTRO, пл.крылья;;35080
;Miss-9100 V 26";товар;шт;21-ск., рама AL (15.7"/17.7"), аморт. вилка NEX SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-M310/CS-HG20, двойной AL обод WEINMANN, тормоза V-типа TEKTRO, пл. крылья;;23165
;Miss-9300 V 26".13;товар;шт;24-ск, рама AL (15.7/17.7"), аморт. вилка Neon ML RST, SHIMANO ST-M360/FD-TX51/RD-M360/CS-HG40, двойные AL обода WEINMANN, AL тормоза V-типа TEKTRO, пл. крылья, звонок;;20445
;Miss-9300 V 26";товар;шт;24-ск., рама AL (15.7"/17.7"), аморт. вилка CRV8 SR SUNTOUR, SHIMANO ST-EF65/FD-TX51/RD-M360/CS-HG41, двойной AL обод WEINMANN, тормоза V-типа TEKTRO, пл. крылья;;24655
;Miss-9300.12;товар;шт;26" 24-ск, рама AL (Lady15.7/17.7"), Shimano TX51/ACERA/ACERA, AL тормоза V-типа, TEKTRO, вилка RST NEON, пл. крылья, дв. AL обод.;;19640
;Miss-9500 MD 26";товар;шт;24-ск., рама AL (15.7"/17.7"), аморт. вилка NEON RST, SHIMANO SL-M360/FD-TX51/RD-M400/CS-HG41, двойной AL обод WEINMANN, механические дисковые тормоза NOVELA TEKTRO, пл. крылья;;29790
;Miss-9500.11;товар;шт;26" 24-ск, рама AL (Lady15.7/17.7"), Shimano TX51/ACERA/ACERA,  AL тормоза V-типа, TEKTRO, вилка RST NEON, пл. крылья, дв. AL обод.;;22605
;Miss-9500.13 ;товар;шт;24-ск, рама AL (15.7/17.7"), аморт. вилка Neon ML RST, SHIMANO ST-M360/FD-TX51/RD-M430/CS-HG40, двойные AL обода WEINMANN, мех. дисковые тормоза Aquila TEKTRO, пл. крылья, звонок;;26545
;Дорожные;;;;;
;Navigator-210 Gent 26";товар;шт;1-ск., рама  STEEL (19"/20.5"), вилка  сталь,  AL обода, тормоз задний ножной, крылья из нерж. стали, багажник, корзина, насос, звонок;;8390
;Navigator-210 Lady 26";товар;шт;1-ск., рама  STEEL (17"/19"), вилка  сталь,  AL обода, тормоз задний ножной, крылья из нерж. стали, багажник, корзина, насос, звонок;;8390
;Navigator-250 Gent 26";товар;шт;7-ск., рама  STEEL (19"/20.5"), вилка  сталь, SHIMANO  MF-TZ21/RD-TX35B/ST-EF51/, AL обода, тормоза POWER алюминий, крылья из нерж. стали, багажник, корзина, насос, звонок;;10700
;Navigator-250 Lady 26";товар;шт;7-ск., рама  STEEL (17"/19"), вилка  сталь, SHIMANO  MF-TZ21/RD-TX35B/ST-EF51/, AL обода, тормоза POWER алюминий, крылья из нерж. стали, багажник, корзина, насос, звонок;;10700
;Navigator-300 Gent 28" (производство);товар;шт;1-ск, paмa сталь 20.0", втулки KT, зад. ножной тормоз, двойные AL обода, седло CIONLLI, длинные крылья из нерж. стали, багажник, звонок, насос;;7175
;Navigator-300 Lady 28" (производство);товар;шт;1-ск, paмa сталь 20.0", втулки KT, зад. ножной тормоз, двойные AL обода, седло CIONLLI, длинные крылья из нерж. стали, багажник, звонок, насос;;7175
;Navigator-310 Gent 28";товар;шт;1-ск, paмa сталь (20.0"), втулки KT, зад. ножной тормоз, двойные AL обода, седло CIONLLI, длинные крылья из нерж. стали, багажник, корзина, звонок, насос;;8605
;Navigator-310 Lady 28";товар;шт;1-ск, paмa сталь (20.0"), втулки KT, зад. ножной тормоз, двойные AL обода, седло CIONLLI, длинные крылья из нерж. стали, багажник, корзина, звонок, насос;;8605
;Navigator-340 Lady 28" (новый дизайн);товар;шт;1-ск, paмa сталь (18"), втулки KT, зад. ножной тормоз KT, двойные AL обода, седло CIONLLI, покрышки CHAO YANG,  длинные крылья из нерж. стали, багажник, корзина, звонок, насос;;9620
;Navigator-350 Gent 28";товар;шт;7-ск., рама  STEEL (20"), вилка стальная, SHIMANO ASLM310R7A/SL-MF-TZ21, двойные AL обода, AL тормоза POWER, стальные крылья, багажник, звонок, корзина;;11035
;Navigator-350 Lady 28";товар;шт;7-ск., рама  STEEL (18"), вилка стальная, SHIMANO ASLM310R7A/SL-MF-TZ21, двойные AL обода, AL тормоза POWER, стальные крылья, багажник, звонок, корзина;;10975
;Navigator-360 Gent 28".13;товар;шт;1-ск, paмa AL (20.0"),  двойные AL обода, зад. ножной тормоз, втулки KT, длинные AL крылья, покрышки INNOVA, седло CIONLLI, AL багажник, корзина, насос;;11110
;Navigator-360 Lady 28".14;товар;шт;1-ск, paмa AL (18.0"),  двойные AL обода, зад. ножной тормоз, втулки KT, длинные AL крылья, покрышки INNOVA, седло CIONLLI, AL багажник, корзина, насос;;11250
;Navigator-360.11 Gent;товар;шт;28" дор., AL рама (Gent/Lady), 1-ск ,  хром руль, AL дв. обод,  усил. багажник, корзинка, звонок, насос.;;9485
;Navigator-360.12 Gent;товар;шт;28" дор., AL рама (Gent/Lady), 1-ск ,  хром руль, AL дв. обод,  усил. багажник, корзинка, звонок, насос.;;9620
;Navigator-370 Gent 28".12;товар;шт;28" дор., AL рама (Gent/Lady), 7-ск , Shimano TY22/EF50, хром руль, AL дв. обод, усил. багажник, корзинка, звонок, насос.;;12055
;Navigator-370 Lady 28".14;товар;шт;7-ск, paмa AL (18.0"), SHIMANO ST-EF51/RD-TY22/MF-TZ21, двойные AL обода, AL тормоза V-типа TEKTRO, втулки КТ, длинные AL крылья,покрышки INNOVA, AL багажник, корзина, насос, звонок;;12860
;Navigator-380 Gent 28";товар;шт;3-ск., paмa AL (20"), вилка стальная, SHIMANO ASMGEAR21L/SL-3S41E, двойные AL обода, AL тормоза, ал. Крылья, багажник, звонок, корзина, насос;;16995
;Navigator-380 Lady 28";товар;шт;3-ск., paмa AL (18"), вилка стальная, SHIMANO ASMGEAR21L/SL-3S41E, двойные AL обода, AL тормоза, ал. Крылья, багажник, звонок, корзина, насос;;16995
;Комфортные;;;;;
;Energy-I 26";товар;шт;1-ск., рама AL (16"), аморт.вилка стальная, жесткая, двойные AL обода, передний тормоз: V-типа C310, TEKTRO, задний: барабанный, стальные крылья, корзина передняя, корзина задняя;;25735
;Energy-II 26";товар;шт;3-ск., рама AL (16"), аморт.вилка стальная, жесткая, двойные AL обода, стальные крылья, корзина передняя, корзина задняя;;32770
;Energy-III 26";товар;шт;3-ск., рама AL (16"), аморт.вилка стальная, жесткая, двойные AL обода, стальные крылья, корзина передняя, корзина задняя;;29520
;Miss-7000 V 26";товар;шт;21-ск., рама AL (16"/18"), аморт. вилка NEX SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-TX35D/MF-TZ21, двойной AL обод, тормоза V-типа, стальные крылья, багажник с зажимом;;19230
;Navigator-130 Gent 26" 1-sp;товар;шт;1-ск., рама AL (19"), аморт. вилка стальная, жесткая, SHIMANO 16 зубьев, KT, сталь, двойные AL обода, задний ножной тормоз , стальные крылья, звонок, насос;;13955
;Navigator-130 Gent 26" 3-sp;товар;шт;3-ск., рама AL (19"), аморт.вилка стальная, жесткая  , SHIMANO SL-3S35/ASMGEAR18LP, двойные AL обода, задний ножной тормоз, стальные крылья, звонок, насос;;17205
;Navigator-130 Lady 26" 1-sp;товар;шт;1-ск., рама AL (17"), аморт. Вилка стальная, жесткая, SHIMANO 16 зубьев, сталь, двойные AL обода, задний ножной тормоз, стальные крылья, звонок, насос;;15305
;Navigator-130 Lady 26" 3-sp;товар;шт;3-ск., рама AL (17"), аморт. вилка стальная, жесткая, SHIMANO SL-3S35/18 зубьев, сталь, двойные AL обода, задний ножной тормоз , стальные крылья, звонок, насос;;18420
;Navigator-150 Gent 26" 1-sp;товар;шт;1-ск., рама AL (17,5"), аморт. вилка стальная, жесткая, SHIMANO сталь ASMGEAR18LP, двойные AL обода, задний ножной тормоз , стальные крылья;;16520
;Navigator-150 Gent 26" 3-sp;товар;шт;3-ск., рама AL (17,5"), аморт.вилка стальная, жесткая  , SHIMANO SL-3S35E/ASMGEAR18LP,  двойные AL обода, задний: ножной тормоз, стальные крылья;;18285
;Navigator-150 Lady 26" 1-sp;товар;шт;1-ск., рама AL (15,5"), аморт. вилка стальная, жесткая, SHIMANO ASMGEAR18LP, двойные AL обода, задний ножной тормоз , стальные крылья, звонок;;16520
;Navigator-150 Lady 26" 3-sp;товар;шт;3-ск., рама AL (15,5"), аморт. вилка стальная, жесткая, SHIMANO SL-3S35E/ASMGEAR18LP,  двойные AL обода, задний ножной тормоз, стальные крылья, звонок;;18285
;Navigator-270 26" (новая модель);товар;шт;3-ск., рама ал. (17.5"), вилка  сталь, SHIMANO DH-3R35/ SG-3R40/SM-GEAR21LP/SL-3S41E, AL обода, тормоза роллерные BR-IM45 SHIMANO, пл. крылья, звонок;;35750
;Navigator-290 26";товар;шт;3-ск., рама AL (18.5"), аморт. вилка SR SUNTOUR сталь, SHIMANO SL-3S35E, 22 зуба, двойные AL обода , алюминиевые тормоза , задний ножной, .пл. крылья, багажник, звонок, насос;;23695
;Navigator-700 V 26";товар;шт;21-ск., рама AL (18"/19,5") аморт. вилка NEX SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-TX35D/MF-TZ21, двойной AL обод, тормоза V-типа, крылья сталь;;18285
;Navigator-800 V 26";товар;шт;21-ск., рама AL (18"/20") аморт. вилка NEX SR SUNTOUR, SHIMANO ST-FE51/FD-TX51/RD-M360/MF-TZ21, двойной AL обод WEINMANN, тормоза V-типа TEKTRO, пл. крылья;;22620
;Гибрид;;;;;
;Cross-110 Gent 28".14;товар;шт;21-ск, рама AL (16.5/19.0/20.5"), аморт. вилка NEX SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-M360/CS-HG41, двойные AL обода ALEX, AL тормоза V-типа PROMAX;;25505
;Cross-110 Lady 28".14;товар;шт;21-ск, рама AL (16.5/19.0/20.5"), аморт. вилка NEX SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-M360/CS-HG41, двойные AL обода ALEX, AL тормоза V-типа PROMAX;;23650
;Cross-130 Gent 28".13;товар;шт;21-ск, рама AL (17.7/19.7/21.7"), аморт. вилка NEX SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-M360/CS-HG41, двойные AL обода ALEX, AL тормоза V-типа PROMAX;;17845
;Cross-130 Gent 28".14;товар;шт;21-ск, рама AL (17.7"/19.3"/20.9"), аморт. вилка NEX SR SUNTOUR, SHIMANO ST-EF65/FD-TX51/RD-M310/CS-HG41, AL тормоза V-типа TEKTRO, двойные AL обод ALEX;;21370
;Cross-130 Lady 28".14;товар;шт;21-ск, рама AL (15.7"/17.3"/18.9"), аморт. вилка NEX SR SUNTOUR, SHIMANO ST-EF65/FD-TX51/RD-M310/CS-HG41, AL тормоза V-типа TEKTRO, двойные AL обод ALEX;;21370
;Cross-150 Gent 28".13 ;товар;шт;24-ск, рама AL (17.7/19.3/20.9"), аморт. вилка NEX SR SUNTOUR, SHIMANO ST-EF51/FD-M310/RD-M360/CS-HG31, двойные AL обода ALEX, AL тормоза V-типа TEKTRO, звонок;;21265
;Cross-150 Gent 28".14;товар;шт;24-ск, рама AL (17.7"/19.3"/20.9"), аморт. вилка NEX SR SUNTOUR, SHIMANO ST-EF65/FD-M310/RD-M360/CS-HG41, мех. дисковые тормоза TEKTRO, двойные AL обода WEINMANN, звонок;;23240
;Cross-150 Lady 28".13;товар;шт;24-ск, рама AL (15.8/17.3/18.9"), аморт. вилка NEX SR SUNTOUR, SHIMANO ST-EF51/FD-M310/RD-M360/CS-HG31, двойные AL обод ALEX, AL тормоза V-типа TEKTRO, звонок;;21660
;Cross-170 Gent 28".14;товар;шт;24-ск, рама AL (17.7/19.3/20.9"), аморт. вилка NEX SR SUNTOUR, SHIMANO SL-M410/FD-M412/RD-M430/CS-HG51, двойные AL обода ALEX, гидравлические дисковые тормоза Draco TEKTRO, звонок;;28850
;Cross-170 Lady 28".13;товар;шт;24-ск, рама AL (15.8/17.3/18.9"), аморт. вилка NEX SR SUNTOUR, SHIMANO SL-M410/FD-M412/RD-M430/CS-HG51, двойные AL обода ALEX, гидравлические дисковые тормоза Draco TEKTRO, звонок;;26465
;Cross-170 Lady 28".14;товар;шт;24-ск, рама AL (15.8/17.3/18.9"), аморт. вилка NEX SR SUNTOUR, SHIMANO SL-M410/FD-M412/RD-M430/CS-HG51, двойные AL обода ALEX, гидравлические дисковые тормоза Draco TEKTRO, звонок;;28850
;Navigator-170 Gent 26".14;товар;шт;'28" гибрид, 21-ск (17.7", 19.7", 21.7"), хром руль, дв. AL обод ALEX,
Shimano TX51/RD-M360 (ACERA)/ST-EF51, AL тормоза V-типа';;23835
;Navigator-170 Lady 26".14;товар;шт;'28" гибрид, 21-ск (16.5", 19", 20.5"), хром руль, дв. AL обод ALEX,
Shimano TX51/RD-M360 (ACERA)/ST-EF51, AL тормоза V-типа';;23560
;Navigator-170 Lady 28".11;товар;шт;28" гибрид, 21-ск (Gent/Lady),  хром руль, AL обод WEINMANN, Shimano C051/RD-M360 (ACERA)/ST-EF50, AL V-brake;;15170
;Navigator-170 Lady 28".12;товар;шт;28" гибрид, 21-ск (Gent/Lady),  хром руль, AL обод WEINMANN, Shimano C051/RD-M360 (ACERA)/ST-EF50, AL V-brake;;17330
;Двухподвесные;;;;;
;Adrenalin MD 26".14;товар;шт;21-ск, рама AL, аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF65/FD-TX51/RD-M360/MF-TZ31, мех. дисковые тормоза TEKTRO, двойные AL обода WEINMANN, пл. крылья, рога;;25595
;Adrenalin MD 26" (новый дизайн);товар;шт;24-ск., рама AL (20"), аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF65/FD-M190/RD-M360/CS-HG41, двойной AL обод WEINMANN, дисковые механические тормоза NOVELA TEKTRO, пл. крылья;;28165
;Adrenalin V 26".14;товар;шт;21-ск, рама AL, аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF65/FD-TX51/RD-M360/MF-TZ31, AL тормоза V-типа TEKTRO, двойные AL обода WEINMANN, пл. крылья, рога;;23165
;Adrenalin V 26" (новый дизайн);товар;шт;24-ск., рама AL (20"), аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF65/FD-M190/RD-M360/CS-HG41, двойной AL обод WEINMANN, V-типа TEKTRO, пл. крылья;;26005
;Challenger MD 26";товар;шт;21-ск., рама STEEL (20"), аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-TY10/RD-M360/MF-TZ21, двойной AL обод WEINMANN, механические дисковые тормоза NOVELA TEKTRO, пл.крылья;;21065
;Challenger V 24";товар;шт;21-ск., рама  STEEL (16"), вилка SR SUNTOUR алюминий, SHIMANO ST-EF51/FD-TY10/RD-M360/MF-TZ21, двойные AL обода, пл. крылья;;16935
;Challenger V 26";товар;шт;21-ск., рама STEEL (20"), аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-TY10/RD-M360/MF-TZ21, двойной AL обод WEINMANN, тормоза V-типа TEKTRO, пл. крылья;;19365
;Focus 21-sp 26".14;товар;шт;21-ск, рама сталь, аморт. вилка ZOOM, SHIMANO ST-EF51/FD-TZ31/RD-TX35/MF-TZ21, двойные AL обода, AL тормоза V-типа PROMAX, пластиковые крылья;;14350
;Focus V 26" 18-sp;товар;шт;18-ск., рама STEEL (18"), аморт. вилка сталь, SHIMANO ST-EF40/FD-TZ31/RD-TY21/MF-TZ20, двойной AL обод, тормоза V-типа, пл. крылья;;13955
